jobs,theestallion_count,theestallion_percent,jackharlow_count,jackharlow_percent,21savage_count,21savage_percent,dojacat_count,dojacat_percent,kodakblack1k_count,kodakblack1k_percent,trvisxx_count,trvisxx_percent,1gunnagunna_count,1gunnagunna_percent,wizkhalifa_count,wizkhalifa_percent,liltunechi_count,liltunechi_percent,rickross_count,rickross_percent,drake_count,drake_percent,iamcardib_count,iamcardib_percent,kanyewest_count,kanyewest_percent,kendricklamar_count,kendricklamar_percent,tylerthecreator_count,tylerthecreator_percent,jcolenc_count,jcolenc_percent,lildurk_count,lildurk_percent,1future_count,1future_percent,lilbaby4pf_count,lilbaby4pf_percent,nickiminaj_count,nickiminaj_percent,w_avg,Category Level 1,Category Level 2,Entity
Youtuber,211,0.789109540371742,447,1.2160287276585326,421,1.1776882622804075,160.0,1.0156795531009966,196.0,0.8933047718882456,335.0,1.2082521820673735,241.0,0.91364015467435,186.0,0.6492826473976332,115,0.6105978549431877,93.0,0.3696196494574939,378,0.9094627433053438,61.0,0.7557923429562632,360,0.964681922932633,220,0.8395344399923677,261.0,1.2848914488258751,243.0,0.7870190439176059,114.0,0.9375771033802123,106.0,0.7013365091967713,264,0.8915003545740048,137.0,0.6402766743001356,0.9554950451522051,Music,Rapper,Person
Developer,138,0.5161000785369686,283,0.769879485296118,233,0.6517847152288241,140.0,0.8887196089633721,158.0,0.7201130303997083,242.0,0.8728269494337445,174.0,0.6596406095989084,235.0,0.8203302265507731,136,0.7220983328023785,220.0,0.8743690632327812,422,1.0153261314149604,46.0,0.5699417668194772,605,1.6212015649284526,335,1.2783819881701963,190.0,0.9353615910992961,301.0,0.9748672107785985,76.0,0.6250514022534748,107.0,0.707952891359005,231,0.7800628102522542,130.0,0.6075618077300556,0.9554438688211738,Music,Rapper,Person
Management,175,0.6544747372751414,355,0.9657498843820562,276,0.7720711648204097,85.0,0.5395797625849044,179.0,0.8158242559591633,190.0,0.6852773569934358,204.0,0.773371749184927,213.0,0.7435333542779348,146,0.7751937984496122,317.0,1.2598863320217801,385,0.9263046459591464,46.0,0.5699417668194772,390,1.045072083177019,237,0.9044075558099597,116.0,0.5710628661448334,247.0,0.7999740899080192,101.0,0.8306604161526441,117.0,0.774116712981342,211,0.7125249046027085,158.0,0.7384212740103753,0.8513389661241411,Music,Rapper,Person
Journalist,211,0.789109540371742,337,0.9167822846105715,172,0.48114579836634225,153.0,0.971243572652828,91.0,0.41474864409097123,225.0,0.8115126595974899,120.0,0.45492455834407475,221.0,0.771459489649876,132,0.700860146543485,165.0,0.655776797424586,308,0.7410437167673171,62.0,0.7681823813653823,383,1.0263143791199958,263,1.0036252623545123,154.0,0.7581351843646925,213.0,0.6898561989895066,63.0,0.5181347150259067,66.0,0.43668122270742366,108,0.36470469050754734,201.0,0.9393840257980091,0.7782917551850774,Music,Rapper,Person
Educator,313,1.1705748158121099,292,0.7943632851818604,136,0.3804408638245497,122.0,0.7744556592395099,82.0,0.3737295474226334,183.0,0.660030296472625,90.0,0.34119341875805603,152.0,0.530596572066883,134,0.7114792396729318,207.0,0.8227018004053895,281,0.6760820922455067,58.0,0.7186222277289059,315,0.8440966825660537,241,0.9196718183552756,101.0,0.4972185300054153,215.0,0.6963337219847132,51.0,0.41944238835430536,50.0,0.3308191081116846,129,0.43561949143957046,159.0,0.7430948263775295,0.7261840351057435,Music,Rapper,Person
Traveling,189,0.7068327162571526,200,0.5440844419053837,172,0.48114579836634225,88.0,0.5586237542055482,121.0,0.5514789663187639,163.0,0.5878958378417369,118.0,0.44734248237167346,204.0,0.7121164519845008,147,0.7805033450143356,164.0,0.6518023925917096,254,0.6111204677236964,58.0,0.7186222277289059,216,0.5788091537595798,144,0.5495134516313679,76.0,0.37414463643971846,177.0,0.5732607850757871,67.0,0.5510321572497738,85.0,0.5623924837898638,152,0.5132880829365482,172.0,0.803851007150535,0.6028082912846072,Music,Rapper,Person
Attorney,187,0.6993530049740082,250,0.6801055523817298,117,0.32729103726082587,82.0,0.5205357709642607,73.0,0.3327104507542956,123.0,0.44362692057996095,72.0,0.27295473500644485,106.0,0.37002129367822106,84,0.44600191143676327,123.0,0.48885179444378224,244,0.5870606067896929,54.0,0.6690620740924298,300,0.8039016024438607,163,0.6220186987216179,84.0,0.4135282823807414,118.0,0.38217385671719145,28.0,0.23028209556706963,55.0,0.36390101892285304,82,0.2769054131631378,118.0,0.5514791793242044,0.5412554158828757,Music,Rapper,Person
Blogger,164,0.6133363252178466,157,0.4271062868957263,159,0.4447801275595838,61.0,0.38722782961975494,97.0,0.44209470853652977,118.0,0.425593305922239,104.0,0.39426795056486474,141.0,0.49219813593046385,96,0.5097164702134436,168.0,0.6677000119232148,214,0.5148810239876814,43.0,0.5327716515921199,162,0.43410686531968484,117,0.4464796794504865,54.0,0.26583961010190515,150.0,0.48581422464049756,58.0,0.4770129122460729,65.0,0.43006484054519,138,0.4660115489818661,134.0,0.6262560171986727,0.4888877738930258,Music,Rapper,Person
Creative Director,59,0.22065148285276195,122,0.33189150956228414,96,0.2685464921114468,42.0,0.2666158826890116,37.0,0.16863406408094433,74.0,0.2668974969342855,62.0,0.2350443551444386,60.0,0.20944601528955908,25,0.1327386641180843,75.0,0.2980803624657209,115,0.27668840074104367,4.0,0.04956015363647628,197,0.5278953856048019,98,0.37397443236023653,108.0,0.5316792202038103,65.0,0.21051949734421557,28.0,0.23028209556706963,46.0,0.3043535794627498,75,0.25326714618579677,20.0,0.09347104734308549,0.322706993768077,Music,Rapper,Person
Real Estate,94,0.3515464303077902,102,0.2774830653717457,92,0.25735705494013655,28.0,0.17774392179267443,65.0,0.29624903149355086,57.0,0.2055832070980307,69.0,0.26158162104784294,94.0,0.32813209062030924,60,0.31857279388340226,116.0,0.4610309606136483,140,0.3368380530760532,22.0,0.27258084500061946,152,0.4073101452382228,69,0.2633085289066971,23.0,0.11322798208044109,93.0,0.3012048192771085,53.0,0.435891109466239,42.0,0.27788805081381507,75,0.25326714618579677,82.0,0.38323129410665047,0.3216672844611448,Music,Rapper,Person
Stylist,119,0.44504282134709605,92,0.25027884327647654,125,0.3496699116034464,34.0,0.21583190503396177,69.0,0.31447974112392324,70.0,0.25247060520810793,86.0,0.32602926681325356,67.0,0.23388138374000766,42,0.22300095571838163,90.0,0.35769643495886505,109,0.26225248418064145,25.0,0.3097509602279767,84,0.225092448684281,53,0.20225147872543403,47.0,0.23137891990351006,75.0,0.24290711232024878,29.0,0.23850645612303645,45.0,0.2977371973005161,104,0.3511971093776382,70.0,0.3271486657007992,0.29718543907432504,Music,Rapper,Person
Psychology,80,0.29918845132577887,143,0.38902037596234945,68,0.19022043191227486,79.0,0.5014917793436171,30.0,0.13673032222779272,99.0,0.35706557022289553,36.0,0.13647736750322242,53.0,0.18501064683911053,33,0.17521503663587126,49.0,0.19474583681093766,107,0.2574405119938407,22.0,0.27258084500061946,127,0.34031834503456776,84,0.3205495134516313,44.0,0.21661005267562647,70.0,0.22671330483223215,19.0,0.1562628505633687,21.0,0.13894402540690753,36,0.12156823016918246,47.0,0.21965696125625087,0.28170814016769585,Music,Rapper,Person
Economist,53,0.19821234900332854,56,0.15234364373350748,68,0.19022043191227486,10.0,0.06347997206881228,32.0,0.1458456770429789,23.0,0.08295462742552116,34.0,0.12889529153082116,87.0,0.3036967221698607,57,0.30264415418923213,82.0,0.3259011962958548,118,0.28390635902124484,30.0,0.3717011522735721,111,0.29744359290422845,86,0.3281816447242891,26.0,0.12799684930832472,85.0,0.2752947272962819,24.0,0.19738465334320254,23.0,0.1521767897313749,50,0.16884476412386454,71.0,0.33182221806795353,0.254723538175541,Music,Rapper,Person
Make Up Artist,123,0.46000224391338507,96,0.26116053211458423,78,0.21819402484055056,48.0,0.30470386593029897,47.0,0.21421083815687525,71.0,0.25607732813965234,38.0,0.14405944347562363,34.0,0.11868607533075015,18,0.09557183816502067,34.0,0.13512976431779344,78,0.18766691528522964,21.0,0.26019080659150046,37,0.09914786430140951,13,0.04960885327227627,25.0,0.12307389356569684,40.0,0.1295504599041327,30.0,0.2467308166790032,31.0,0.20510784702924448,67,0.22625198392597848,69.0,0.3224751133336449,0.24169790421237908,Music,Rapper,Person
