interests,theestallion_count,theestallion_percent,jackharlow_count,jackharlow_percent,21savage_count,21savage_percent,dojacat_count,dojacat_percent,kodakblack1k_count,kodakblack1k_percent,trvisxx_count,trvisxx_percent,1gunnagunna_count,1gunnagunna_percent,wizkhalifa_count,wizkhalifa_percent,liltunechi_count,liltunechi_percent,rickross_count,rickross_percent,drake_count,drake_percent,iamcardib_count,iamcardib_percent,kanyewest_count,kanyewest_percent,kendricklamar_count,kendricklamar_percent,tylerthecreator_count,tylerthecreator_percent,jcolenc_count,jcolenc_percent,lildurk_count,lildurk_percent,1future_count,1future_percent,lilbaby4pf_count,lilbaby4pf_percent,nickiminaj_count,nickiminaj_percent,w_avg,Category Level 1,Category Level 2,Entity
Vegan,179.0,0.8676684440135721,181,0.9077231695085256,86.0,0.6041022759202025,122.0,1.0843480579504048,55.0,0.5885500267522737,173.0,1.0458859802913973,53.0,0.5194041552332419,88.0,0.6146109791870372,45.0,0.5404756185443191,55.0,0.5570748506026536,143,0.6786256643887623,26.0,0.6039488966318235,216.0,1.056441357722782,132.0,1.0902783513669776,117.0,1.215079447502337,90.0,0.6742583158525621,18.0,0.37593984962406024,39.0,0.5546863888493814,57.0,0.38844214256508114,84.0,0.7311341282966314,0.8439994651089227,Music,Rapper,Person
Cosplay,99.0,0.4798836645661657,64,0.32096288866599804,22.0,0.15453779151447036,191.0,1.6976268776108798,10.0,0.10700909577314066,204.0,1.233299075025694,4.0,0.03920031360250882,32.0,0.22349490152255902,14.0,0.16814797021378813,9.0,0.09115770282588878,23,0.10914958238420651,22.0,0.511033681765389,29.0,0.14183703413870685,15.0,0.12389526720079293,61.0,0.6335029598089106,17.0,0.12735990410548398,2.0,0.04177109440267336,12.0,0.1706727350305789,7.0,0.04770342101676434,66.0,0.5744625293759247,0.8413694941120142,Music,Rapper,Person
Wellness,138.0,0.6689287445467764,105,0.526579739217653,86.0,0.6041022759202025,43.0,0.3821882499333394,71.0,0.7597645799892989,83.0,0.5017834471918263,51.0,0.4998039984319875,91.0,0.6355636262047771,65.0,0.7806870045640165,89.0,0.9014483946115667,163,0.7735383447228549,31.0,0.7200929152148663,160.0,0.7825491538687274,83.0,0.6855538118443875,37.0,0.3842558936545852,121.0,0.9065028468684448,37.0,0.772765246449457,43.0,0.611577300526241,87.0,0.5928853754940712,92.0,0.8007659500391678,0.6923899192554966,Music,Rapper,Person
Song Writer,61.0,0.29568589432864756,88,0.44132397191574724,121.0,0.8499578533295872,10.0,0.08888098835659056,95.0,1.0165864098448365,40.0,0.2418233480442537,101.0,0.9898079184633477,71.0,0.4958793127531778,60.0,0.720634158059092,96.0,0.9723488301428135,119,0.5647304479878512,10.0,0.2322880371660859,69.0,0.33747432260588867,53.0,0.4377632774428017,25.0,0.2596323605774224,91.0,0.6817500749175907,38.0,0.7936507936507938,56.0,0.7964727634760348,83.0,0.5656262777702058,49.0,0.42649490817303504,0.64802901060693,Music,Rapper,Person
Feminist,132.0,0.639844886088221,117,0.5867602808425276,43.0,0.30205113796010125,110.0,0.977690871922496,17.0,0.18191546281433918,137.0,0.828244967051569,27.0,0.2646021168169346,19.0,0.13270009777901942,17.0,0.20417967811674273,14.0,0.14180087106249364,80,0.3796507213363705,29.0,0.673635307781649,89.0,0.4352929668394796,68.0,0.5616585446435945,42.0,0.4361823657700696,52.0,0.3895714713814804,10.0,0.20885547201336682,10.0,0.14222727919214906,21.0,0.14311026305029304,55.0,0.4787187744799373,0.5542635536991277,Music,Rapper,Person
Boxing,37.0,0.17935046049442557,93,0.4663991975927783,85.0,0.5970778308513629,16.0,0.1422095813705449,52.0,0.5564472980203317,40.0,0.2418233480442537,45.0,0.44100352802822423,75.0,0.5238161754434977,55.0,0.6605813115541678,63.0,0.6381039197812214,127,0.6026955201214882,7.0,0.16260162601626013,87.0,0.4255111024161205,77.0,0.6359957049640702,25.0,0.2596323605774224,80.0,0.5993407252022775,26.0,0.5430242272347536,39.0,0.5546863888493814,62.0,0.42251601471991285,39.0,0.33945513099486463,0.5049610907203831,Music,Rapper,Person
Esthetician,127.0,0.615608337372758,121,0.6068204613841525,71.0,0.4987355998876089,47.0,0.41774064527597565,61.0,0.6527554842161581,66.0,0.39900852427301864,39.0,0.382203057624461,32.0,0.22349490152255902,12.0,0.1441268316118184,26.0,0.26334447483034534,76,0.36066818526955197,15.0,0.34843205574912883,29.0,0.14183703413870685,20.0,0.1651936896010572,25.0,0.2596323605774224,47.0,0.35211267605633806,33.0,0.6892230576441105,31.0,0.44090456549566215,66.0,0.4497751124437781,46.0,0.4003829750195839,0.4556041882289765,Music,Rapper,Person
Make Up Artist,123.0,0.5962190984003877,96,0.481444332998997,78.0,0.5479067153694859,48.0,0.4266287441116347,47.0,0.5029427501337612,71.0,0.4292364427785504,38.0,0.3724029792238338,34.0,0.23746333286771892,18.0,0.21619024741772763,34.0,0.3443735440089131,78,0.3701594533029613,21.0,0.4878048780487804,37.0,0.18096449183214322,13.0,0.10737589824068718,25.0,0.2596323605774224,40.0,0.2996703626011388,30.0,0.6265664160401004,31.0,0.44090456549566215,67.0,0.45658988687474444,69.0,0.6005744625293759,0.44578108947443085,Music,Rapper,Person
Basketball,16.0,0.07755695588948133,45,0.22567703109327986,74.0,0.5198089350941276,2.0,0.017776197671318113,43.0,0.4601391118245049,34.0,0.20554984583761568,54.0,0.5292042336338691,44.0,0.3073054895935186,36.0,0.43238049483545526,15.0,0.15192950470981462,67,0.31795747911921035,10.0,0.2322880371660859,30.0,0.14672796635038637,33.0,0.2725695878417444,21.0,0.2180911828850348,57.0,0.4270302667066227,33.0,0.6892230576441105,20.0,0.2844545583842981,82.0,0.5588115033392395,28.0,0.24371137609887714,0.3812349451277762,Music,Rapper,Person
Skincare,123.0,0.5962190984003877,48,0.2407221664994985,41.0,0.2880022478224221,31.0,0.27553106390543075,24.0,0.25682182985553764,45.0,0.2720512665497854,31.0,0.3038024304194434,38.0,0.26540019555803884,27.0,0.3242853711265914,28.0,0.2836017421249873,70,0.33219438116932415,25.0,0.5807200929152148,40.0,0.19563728846718184,29.0,0.23953084992153298,14.0,0.14539412192335655,40.0,0.2996703626011388,13.0,0.2715121136173768,16.0,0.22756364670743853,35.0,0.2385171050838217,84.0,0.7311341282966314,0.37823529227396924,Music,Rapper,Person
Stock Market,14.0,0.06786233640329616,49,0.24573721163490472,29.0,0.2037089069963473,11.0,0.09776908719224961,35.0,0.37453183520599237,19.0,0.1148660903210205,33.0,0.32340258722069776,43.0,0.30032127392093866,25.0,0.3002642325246217,49.0,0.49630304871872777,85,0.4033788914198937,6.0,0.13937282229965153,113.0,0.5526753399197887,27.0,0.22301148096142723,15.0,0.15577941634645343,44.0,0.3296373988612526,4.0,0.08354218880534672,27.0,0.3840136538188025,55.0,0.3748125937031484,10.0,0.08703977717817042,0.35108552724033243,Music,Rapper,Person
animals,58.0,0.2811439650993698,60,0.30090270812437314,18.0,0.12644001123911217,37.0,0.32885965691938507,18.0,0.19261637239165322,65.0,0.3929629405719123,7.0,0.06860054880439044,44.0,0.3073054895935186,29.0,0.34830650972856114,18.0,0.18231540565177756,65,0.308466211085801,20.0,0.4645760743321718,73.0,0.35703805145260686,25.0,0.20649211200132156,22.0,0.22847647730813173,22.0,0.1648186994306263,11.0,0.22974101921470347,5.0,0.07111363959607453,17.0,0.1158511653264277,44.0,0.38297501958394975,0.29805718390958763,Music,Rapper,Person
Stop Asian Hate,69.0,0.3344643722733882,83,0.41624874623871616,31.0,0.21775779713402643,34.0,0.3021953604124079,4.0,0.04280363830925627,42.0,0.2539145154464664,10.0,0.09800078400627205,11.0,0.07682637239837965,5.0,0.06005284650492434,10.0,0.10128633647320975,31,0.14711465451784358,1.0,0.02322880371660859,21.0,0.10270957644527047,48.0,0.3964648550425373,34.0,0.3531000103852945,22.0,0.1648186994306263,4.0,0.08354218880534672,7.0,0.09955909543450435,6.0,0.040888646585798015,17.0,0.1479676212028897,0.2731019268785857,Music,Rapper,Person
Motivational Speaker,38.0,0.18419777023751813,22,0.11033099297893681,34.0,0.2388311323405451,8.0,0.07110479068527245,24.0,0.25682182985553764,17.0,0.10277492291880784,24.0,0.23520188161505295,32.0,0.22349490152255902,20.0,0.24021138601969735,41.0,0.41527397954015993,53,0.2515186028853455,5.0,0.11614401858304295,44.0,0.21520101731390004,22.0,0.18171305856116293,10.0,0.10385294423096895,36.0,0.2697033263410249,14.0,0.29239766081871355,13.0,0.18489546294979378,28.0,0.19081368406705737,22.0,0.19148750979197487,0.2264935667859802,Music,Rapper,Person
